Time,Celsius,Fahrenheit
01:03:01,30.25,86.45
01:03:03,30.3125,86.5625
01:03:06,30.3125,86.5625
01:03:08,30.3125,86.5625
01:03:11,30.375,86.675
01:03:13,30.4375,86.7875
01:03:15,30.4375,86.7875
01:03:18,30.4375,86.7875
01:03:20,30.5,86.9
01:03:23,30.5,86.9
01:03:25,30.5,86.9
01:03:28,31.1875,88.1375
01:03:30,32.5,90.5
01:03:33,33.0625,91.5125
01:03:35,33.375,92.075
01:03:38,33.5625,92.4125
01:03:40,33.75,92.75
01:03:43,33.8125,92.8625
01:03:45,33.875,92.975
01:03:47,33.9375,93.0875
01:03:50,34.0,93.2
01:03:52,33.9375,93.0875
01:03:55,34.0,93.2
01:03:57,34.0625,93.3125
01:04:00,34.0625,93.3125
01:04:02,34.0625,93.3125
01:04:05,33.9375,93.0875
01:04:07,33.5,92.3
01:04:10,33.125,91.625
01:04:12,33.0,91.4
01:04:15,32.8125,91.0625
01:04:17,32.5625,90.6125
01:04:20,32.5,90.5
01:04:22,32.375,90.275
01:04:24,32.75,90.95
01:04:27,33.4375,92.1875
01:04:29,33.9375,93.0875
01:04:32,34.1875,93.5375
01:04:34,34.375,93.875
01:04:37,34.4375,93.9875
01:04:39,34.5,94.1
01:04:42,34.5625,94.2125
01:04:44,34.5625,94.2125
01:04:47,34.625,94.325
01:04:49,34.625,94.325
01:04:52,34.625,94.325
01:04:54,34.625,94.325
01:04:56,34.1875,93.5375
01:04:59,33.6875,92.6375
01:05:01,33.375,92.075
01:05:04,33.0,91.4
01:05:06,32.75,90.95
01:05:09,32.5,90.5
01:05:11,32.3125,90.1625
01:05:14,32.25,90.05
01:05:16,32.0625,89.7125
01:05:19,31.9375,89.4875
01:05:21,31.8125,89.2625
01:05:24,31.6875,89.0375
01:05:26,31.625,88.925
01:05:29,31.5625,88.8125
01:05:31,31.4375,88.5875
01:05:33,31.4375,88.5875
01:05:36,31.375,88.475
01:05:38,31.25,88.25
01:05:41,31.25,88.25
01:05:43,31.1875,88.1375
01:05:46,31.125,88.025
01:05:48,31.125,88.025
01:05:51,31.0625,87.9125
01:05:53,31.0625,87.9125
01:05:56,31.0625,87.9125
01:05:58,31.0,87.8
01:06:01,31.0,87.8
01:06:03,30.9375,87.6875
01:06:05,30.9375,87.6875
01:06:08,30.875,87.575
01:06:10,30.9375,87.6875
01:06:13,30.875,87.575
01:06:15,30.875,87.575
01:06:18,30.875,87.575
01:06:20,30.8125,87.4625
01:06:23,30.8125,87.4625
01:06:25,30.8125,87.4625
01:06:28,30.8125,87.4625
01:06:30,30.8125,87.4625
01:06:33,30.8125,87.4625
01:06:35,30.8125,87.4625
01:06:38,30.8125,87.4625
01:06:40,30.8125,87.4625
01:06:42,30.75,87.35
01:06:45,30.8125,87.4625
01:06:47,32.875,91.175
01:06:50,33.625,92.525
01:06:52,34.0625,93.3125
01:06:55,34.3125,93.7625
01:06:57,34.5,94.1
01:07:00,34.5625,94.2125
01:07:02,34.6875,94.4375
01:07:05,34.75,94.55
01:07:07,34.8125,94.6625
01:07:10,34.8125,94.6625
01:07:12,34.1875,93.5375
01:07:14,33.75,92.75
01:07:17,33.375,92.075
01:07:19,33.0625,91.5125
01:07:22,32.8125,91.0625
01:07:24,32.5625,90.6125
01:07:27,32.375,90.275
01:07:29,32.25,90.05
01:07:32,32.125,89.825
01:07:34,31.9375,89.4875
01:07:37,31.8125,89.2625
01:07:39,31.6875,89.0375
01:07:42,31.5625,88.8125
01:07:44,31.5,88.7
01:07:47,31.4375,88.5875
01:07:49,31.375,88.475
